,approach,count_id,time,type,volume
281,SB,147,1998-03-02 16:30:00,pm15,16
282,SB,147,1998-03-02 07:00:00,am60,17
283,SB,147,1998-03-02 17:00:00,pm60,40
284,SB,148,1997-10-17 07:45:00,am15,15
285,SB,148,1997-10-17 17:30:00,pm15,20
286,SB,148,1997-10-17 07:15:00,am60,40
287,SB,148,1997-10-17 17:00:00,pm60,61
288,SB,149,1992-01-07 09:15:00,am15,13
289,SB,149,1992-01-07 17:00:00,pm15,14
290,SB,149,1992-01-07 08:30:00,am60,39
291,SB,149,1992-01-07 16:45:00,pm60,53
292,SB,150,2005-05-17 07:45:00,am15,49
293,SB,150,2005-05-17 15:15:00,pm15,57
294,SB,150,2005-05-17 07:30:00,am60,183
295,SB,150,2005-05-17 15:15:00,pm60,189
296,SB,151,1994-06-27 08:30:00,am15,23
297,SB,151,1994-06-27 16:30:00,pm15,43
298,SB,151,1994-06-27 08:30:00,am60,74
299,SB,151,1994-06-27 17:00:00,pm60,140
300,SB,155,2001-04-26 07:45:00,am15,19
301,SB,155,2001-04-26 16:15:00,pm15,11
302,SB,155,2001-04-26 07:30:00,am60,38
303,SB,155,2001-04-26 14:00:00,pm60,32
304,SB,156,7.45,am15,10
305,SB,156,4.00,pm15,19
306,SB,156,7.45,am60,29
307,SB,156,3.15,pm60,60
308,SB,157,2005-07-19 08:00:00,am15,8
309,SB,157,2005-07-19 16:15:00,pm15,10
310,SB,157,2005-07-19 07:30:00,am60,21
311,SB,157,2005-07-19 17:00:00,pm60,27
312,SB,158,2009-11-02 07:00:00,am15,0
313,SB,158,2009-11-02 15:00:00,pm15,0
314,SB,158,2009-11-02 07:00:00,am60,0
315,SB,158,2009-11-02 15:00:00,pm60,0
316,SB,159,2015-10-22 07:00:00,am15,0
317,SB,159,2015-10-22 15:00:00,pm15,0
318,SB,159,2015-10-22 07:00:00,am60,0
319,SB,159,2015-10-22 15:00:00,pm60,0
320,SB,163,1994-06-17 07:45:00,am15,212
321,SB,163,1994-06-17 17:30:00,pm15,375
322,SB,163,1994-06-17 07:15:00,am60,821
323,SB,163,1994-06-17 17:00:00,pm60,1459
324,SB,166,2012-09-20 08:00:00,am15,352
325,SB,166,2012-09-20 17:00:00,pm15,386
326,SB,166,2012-09-20 07:45:00,am60,1202
327,SB,166,2012-09-20 16:30:00,pm60,1391
328,SB,168,8.00,am15,18
329,SB,168,3.30,pm15,20
330,SB,168,7.15,am60,60
331,SB,168,3.15,pm60,64
332,SB,171,2003-11-21 07:30:00,am15,293
333,SB,171,2003-11-21 17:45:00,pm15,432
334,SB,171,2003-11-21 09:00:00,am60,1150
335,SB,171,2003-11-21 17:00:00,pm60,1633
336,SB,176,1999-04-20 07:15:00,am15,217
337,SB,176,1999-04-20 15:45:00,pm15,298
338,SB,176,1999-04-20 07:00:00,am60,778
339,SB,176,1999-04-20 17:00:00,pm60,1073
340,SB,178,2012-09-18 07:45:00,am15,313
341,SB,178,2012-09-18 16:00:00,pm15,532
342,SB,178,2012-09-18 07:45:00,am60,1175
343,SB,178,2012-09-18 16:00:00,pm60,1934
344,SB,180,2013-04-30 09:45:00,am15,30
345,SB,180,2013-04-30 15:15:00,pm15,38
346,SB,180,2013-04-30 09:00:00,am60,93
347,SB,180,2013-04-30 16:15:00,pm60,136
348,SB,183,1994-12-27 08:45:00,am15,7
349,SB,183,1994-12-27 15:15:00,pm15,10
350,SB,183,1994-12-27 08:30:00,am60,20
351,SB,183,1994-12-27 15:00:00,pm60,29
352,SB,184,2004-04-26 07:15:00,am15,215
353,SB,184,2004-04-26 17:00:00,pm15,401
354,SB,184,2004-04-26 07:15:00,am60,745
355,SB,184,2004-04-26 15:30:00,pm60,1360
356,SB,185,2001-09-06 07:45:00,am15,231
357,SB,185,2001-09-06 15:45:00,pm15,271
358,SB,185,2001-09-06 07:00:00,am60,781
359,SB,185,2001-09-06 15:45:00,pm60,1049
360,SB,186,1993-03-19 08:45:00,am15,7
361,SB,186,1993-03-19 16:15:00,pm15,20
362,SB,186,1993-03-19 08:15:00,am60,21
363,SB,186,1993-03-19 16:15:00,pm60,52
364,SB,187,2003-04-08 07:00:00,am15,0
365,SB,187,2003-04-08 15:00:00,pm15,0
366,SB,187,2003-04-08 07:00:00,am60,0
367,SB,187,2003-04-08 15:00:00,pm60,0
368,SB,188,2015-06-03 07:00:00,am15,0
369,SB,188,2015-06-03 14:00:00,pm15,0
370,SB,188,2015-06-03 07:00:00,am60,0
371,SB,188,2015-06-03 14:00:00,pm60,0
372,SB,189,2015-12-01 00:00:00,am15,0
373,SB,189,2015-12-01 00:00:00,pm15,0
374,SB,189,2015-12-01 00:00:00,am60,0
375,SB,189,2015-12-01 00:00:00,pm60,0
376,SB,197,2000-08-22 07:45:00,am15,12
377,SB,197,2000-08-22 15:15:00,pm15,15
378,SB,197,2000-08-22 07:30:00,am60,37
379,SB,197,2000-08-22 15:00:00,pm60,54
380,SB,198,1993-12-09 08:00:00,am15,15
381,SB,198,1993-12-09 15:30:00,pm15,32
382,SB,198,1993-12-09 08:00:00,am60,45
383,SB,198,1993-12-09 15:30:00,pm60,93
384,SB,214,2013-03-28 08:45:00,am15,68
385,SB,214,2013-03-28 16:00:00,pm15,133
386,SB,214,2013-03-28 08:30:00,am60,236
387,SB,214,2013-03-28 17:00:00,pm60,480
388,SB,221,2008-08-18 08:45:00,am15,318
389,SB,221,2008-08-18 16:30:00,pm15,335
390,SB,221,2008-08-18 08:00:00,am60,1171
391,SB,221,2008-08-18 16:15:00,pm60,1260
392,SB,231,2002-04-15 07:45:00,am15,91
393,SB,231,2002-04-15 17:15:00,pm15,147
394,SB,231,2002-04-15 07:15:00,am60,295
395,SB,231,2002-04-15 17:00:00,pm60,569
