,approach,count_id,type,volume
491,SB,81,bus,0
492,EB,81,dual,0
493,EB,81,bike,0
494,EB,81,bus,0
495,WB,81,dual,0
496,WB,81,bike,0
497,WB,81,bus,0
498,NB,82,dual,0
499,NB,82,bike,0
500,NB,82,bus,0
501,SB,82,dual,0
502,SB,82,bike,0
503,SB,82,bus,0
504,EB,82,dual,0
505,EB,82,bike,0
506,EB,82,bus,0
507,WB,82,dual,0
508,WB,82,bike,0
509,WB,82,bus,0
510,NB,83,dual,0
511,NB,83,bike,0
512,NB,83,bus,0
513,SB,83,dual,0
514,SB,83,bike,0
515,SB,83,bus,0
516,EB,83,dual,0
517,EB,83,bike,0
518,EB,83,bus,0
519,WB,83,dual,0
520,WB,83,bike,0
521,WB,83,bus,0
522,NB,84,dual,0
523,NB,84,bike,0
524,NB,84,bus,0
525,SB,84,dual,0
526,SB,84,bike,0
527,SB,84,bus,0
528,EB,84,dual,0
529,EB,84,bike,0
530,EB,84,bus,0
531,WB,84,dual,0
532,WB,84,bike,0
533,WB,84,bus,0
534,NB,85,dual,0
535,NB,85,bike,0
536,NB,85,bus,0
537,SB,85,dual,0
538,SB,85,bike,0
539,SB,85,bus,0
540,EB,85,dual,0
541,EB,85,bike,0
542,EB,85,bus,0
543,WB,85,dual,0
544,WB,85,bike,0
545,WB,85,bus,0
546,NB,88,dual,0
547,NB,88,bike,0
548,NB,88,bus,0
549,SB,88,dual,0
550,SB,88,bike,0
551,SB,88,bus,0
552,EB,88,dual,0
553,EB,88,bike,0
554,EB,88,bus,0
555,WB,88,dual,0
556,WB,88,bike,0
557,WB,88,bus,0
558,NB,99,dual,21
559,NB,99,bike,0
560,NB,99,bus,0
561,SB,99,dual,7
562,SB,99,bike,9
563,SB,99,bus,0
564,EB,99,dual,75
565,EB,99,bike,0
566,EB,99,bus,29
567,WB,99,dual,115
568,WB,99,bike,4
569,WB,99,bus,30
570,NB,100,dual,0
571,NB,100,bike,0
572,NB,100,bus,0
573,SB,100,dual,6
574,SB,100,bike,0
575,SB,100,bus,0
576,EB,100,dual,164
577,EB,100,bike,0
578,EB,100,bus,12
579,WB,100,dual,183
580,WB,100,bike,0
581,WB,100,bus,17
582,NB,101,dual,0
583,NB,101,bike,0
584,NB,101,bus,0
585,SB,101,dual,0
586,SB,101,bike,0
587,SB,101,bus,0
588,EB,101,dual,169
589,EB,101,bike,0
590,EB,101,bus,20
591,WB,101,dual,92
592,WB,101,bike,0
593,WB,101,bus,16
594,NB,103,dual,0
595,NB,103,bike,0
596,NB,103,bus,0
597,SB,103,dual,37
598,SB,103,bike,11
599,SB,103,bus,1
600,EB,103,dual,176
601,EB,103,bike,0
602,EB,103,bus,26
603,WB,103,dual,144
604,WB,103,bike,1
605,WB,103,bus,29
606,NB,105,dual,247
607,NB,105,bike,33
608,NB,105,bus,243
609,SB,105,dual,26
610,SB,105,bike,0
611,SB,105,bus,0
612,EB,105,dual,0
613,EB,105,bike,14
614,EB,105,bus,0
615,WB,105,dual,0
616,NB,107,dual,19
617,NB,107,bike,2
618,NB,107,bus,0
619,SB,107,dual,23
620,SB,107,bike,0
621,SB,107,bus,0
622,EB,107,dual,22
623,EB,107,bike,0
624,EB,107,bus,0
625,WB,107,dual,36
626,WB,107,bike,6
627,WB,107,bus,0
628,NB,108,dual,13
629,NB,108,bike,1
630,NB,108,bus,0
631,SB,108,dual,30
632,SB,108,bike,5
633,SB,108,bus,0
634,EB,108,dual,26
635,EB,108,bike,4
636,EB,108,bus,0
637,WB,108,dual,31
638,WB,108,bike,2
639,WB,108,bus,1
640,NB,109,dual,0
641,NB,109,bike,0
642,NB,109,bus,3
643,SB,109,dual,0
644,SB,109,bike,10
645,SB,109,bus,0
646,EB,109,dual,0
647,EB,109,bike,15
648,EB,109,bus,0
649,WB,109,dual,0
650,NB,112,dual,15
651,NB,112,bike,0
652,NB,112,bus,11
653,SB,112,dual,80
654,SB,112,bike,0
655,SB,112,bus,12
656,EB,112,dual,14
657,EB,112,bike,0
658,EB,112,bus,0
659,WB,112,dual,0
660,WB,112,bike,0
661,WB,112,bus,0
662,NB,113,dual,7
663,NB,113,bike,0
664,NB,113,bus,9
665,SB,113,dual,0
666,SB,113,bike,5
667,SB,113,bus,0
668,EB,113,dual,0
669,EB,113,bike,3
670,EB,113,bus,0
671,WB,113,dual,0
672,NB,114,dual,8
673,NB,114,bike,1
674,NB,114,bus,0
675,SB,114,dual,30
676,SB,114,bike,0
677,SB,114,bus,12
678,EB,114,dual,3
679,EB,114,bike,0
680,EB,114,bus,8
681,WB,114,dual,7
682,WB,114,bike,3
683,WB,114,bus,0
684,NB,115,dual,270
685,NB,115,bike,7
686,NB,115,bus,43
687,SB,115,dual,258
688,SB,115,bike,6
689,SB,115,bus,42
690,EB,115,dual,163
691,EB,115,bike,0
692,EB,115,bus,32
693,WB,115,dual,130
694,WB,115,bike,8
695,WB,115,bus,35
696,NB,116,dual,274
697,NB,116,bike,0
698,NB,116,bus,32
699,SB,116,dual,286
700,SB,116,bike,0
701,SB,116,bus,39
702,EB,116,dual,121
703,EB,116,bike,0
704,EB,116,bus,11
705,WB,116,dual,180
706,WB,116,bike,0
707,WB,116,bus,21
708,NB,119,dual,170
709,NB,119,bike,0
710,NB,119,bus,59
711,SB,119,dual,228
712,SB,119,bike,1
713,SB,119,bus,68
714,EB,119,dual,93
715,EB,119,bike,7
716,EB,119,bus,45
717,WB,119,dual,73
718,WB,119,bike,0
719,WB,119,bus,31
720,NB,120,dual,101
721,NB,120,bike,7
722,NB,120,bus,55
723,SB,120,dual,87
724,SB,120,bike,37
725,SB,120,bus,72
726,EB,120,dual,69
727,EB,120,bike,25
728,EB,120,bus,19
729,WB,120,dual,54
730,WB,120,bike,19
731,WB,120,bus,19
732,NB,128,dual,5
733,NB,128,bike,0
734,NB,128,bus,0
735,SB,128,dual,2
736,SB,128,bike,2
737,SB,128,bus,0
738,EB,128,dual,111
739,EB,128,bike,1
740,EB,128,bus,24
741,WB,128,dual,121
742,WB,128,bike,13
743,WB,128,bus,28
744,NB,129,dual,12
745,NB,129,bike,0
746,NB,129,bus,0
747,SB,129,dual,1
748,SB,129,bike,0
749,SB,129,bus,0
750,EB,129,dual,115
