,approach,count_id,time,type,volume
453,EB,26660,15.30,pm60,82
454,WB,26660,0.00,pm60,0
455,SB,26660,16.45,pm60,745
456,NB,26661,16.15,pm60,494
457,EB,26661,16.45,pm60,1642
458,WB,26661,16.45,pm60,1382
459,SB,26661,16.30,pm60,668
460,NB,26662,16.00,pm60,705
461,EB,26662,15.15,pm60,99
462,WB,26662,15.30,pm60,36
463,SB,26662,16.00,pm60,795
464,NB,26715,16.00,pm60,672
465,EB,26715,0.00,pm60,0
466,WB,26715,16.00,pm60,68
467,SB,26715,15.45,pm60,907
468,NB,26717,16.00,pm60,849
469,EB,26717,14.00,pm60,61
470,WB,26717,0.00,pm60,0
471,SB,26717,15.00,pm60,814
472,NB,26735,2.30,pm60,39
473,EB,26735,3.15,pm60,560
474,WB,26735,2.45,pm60,514
475,SB,26735,3.30,pm60,33
476,NB,26666,15.00,pm60,36
477,EB,26666,17.00,pm60,610
478,WB,26666,15.00,pm60,423
479,SB,26666,16.00,pm60,36
480,NB,26579,15.00,pm60,92
481,EB,26579,15.15,pm60,777
482,WB,26579,16.30,pm60,809
483,SB,26579,15.00,pm60,55
484,NB,26580,16.00,pm60,35
485,EB,26580,16.45,pm60,728
486,WB,26580,16.45,pm60,523
487,SB,26580,17.00,pm60,129
488,NB,26581,16.00,pm60,1323
489,EB,26581,16.15,pm60,48
490,WB,26581,16.00,pm60,57
491,SB,26581,16.00,pm60,1702
492,NB,26582,16.45,pm60,499
493,EB,26582,16.30,pm60,41
494,WB,26582,16.30,pm60,18
495,SB,26582,17.00,pm60,882
496,NB,26583,15.00,pm60,623
497,EB,26583,16.30,pm60,199
498,WB,26583,17.00,pm60,121
499,SB,26583,15.00,pm60,616
500,NB,26584,14.30,pm60,99
501,EB,26584,14.45,pm60,432
502,WB,26584,16.00,pm60,566
503,SB,26584,14.00,pm60,34
504,NB,26585,15.00,pm60,64
505,EB,26585,15.45,pm60,1087
506,WB,26585,16.30,pm60,1010
507,SB,26585,16.00,pm60,15
508,NB,26586,16.15,pm60,47
509,EB,26586,15.45,pm60,1048
510,WB,26586,16.30,pm60,1108
